NO_UF_IES|SG_UF_IES|Total_IES|Total_mun|Total_Pop_IES|Total_Priv|Total_Publ|REGIAO|NOME_REGIAO|Total_Pop_IBGE_2022|Total_Mun_IBGE_2022|Total_Meso|Total_Micro|Prop_Mun|IES_hab|Total_Meso_IES|Total_Micro_IES|Cob_Meso|Cob_Micro
Acre|AC|12|2|458713|10|2|N|Norte|829780|22|2|5|9.090909090909092|38226.083333333336|2|2|100.0|40.0
Alagoas|AL|33|6|1357048|29|4|NE|Nordeste|3125254|102|3|13|5.88235294117647|41122.666666666664|3|5|100.0|38.46153846153847
Amapá|AP|16|2|593443|13|3|N|Norte|774268|16|2|4|12.5|37090.1875|1|1|50.0|25.0
Amazonas|AM|32|6|2502816|29|3|N|Norte|3952262|62|4|13|9.67741935483871|78213.0|1|5|25.0|38.46153846153847
Bahia|BA|153|44|7596531|143|10|NE|Nordeste|14659023|417|7|32|10.551558752997602|49650.529411764706|7|24|100.0|75.0
Ceará|CE|103|29|5186911|96|7|NE|Nordeste|8936431|184|7|33|15.760869565217392|50358.35922330097|7|18|100.0|54.54545454545454
Distrito Federal|DF|66|1|2923369|61|5|CO|Centro-Oeste|2923369|1|1|1|100.0|44293.469696969696|1|1|100.0|100.0
Espírito Santo|ES|71|19|2894544|66|5|SE|Sudeste|3975100|78|4|13|24.358974358974358|40768.22535211268|4|10|100.0|76.92307692307693
Goiás|GO|118|37|4849970|108|10|CO|Centro-Oeste|6950976|246|5|18|15.040650406504067|41101.4406779661|5|14|100.0|77.77777777777779
Maranhão|MA|66|21|2866300|62|4|NE|Nordeste|6800605|217|5|21|9.67741935483871|43428.78787878788|5|12|100.0|57.14285714285714
Mato Grosso|MT|72|24|2487056|68|4|CO|Centro-Oeste|3784239|141|5|22|17.02127659574468|34542.444444444445|5|15|100.0|68.18181818181817
Mato Grosso do Sul|MS|33|11|1707915|29|4|CO|Centro-Oeste|2833742|79|4|11|13.924050632911392|51755.0|4|8|100.0|72.72727272727273
Minas Gerais|MG|312|106|13084266|290|22|SE|Sudeste|20732660|853|12|66|12.42672919109027|41936.75|12|57|100.0|86.36363636363636
Paraná|PR|172|56|7711938|158|14|S|Sul|11835379|399|10|39|14.035087719298245|44836.848837209305|10|29|100.0|74.35897435897436
Paraíba|PB|44|8|1649271|40|4|NE|Nordeste|4030961|223|4|23|3.587443946188341|37483.431818181816|4|7|100.0|30.434782608695656
Pará|PA|78|21|4334465|72|6|N|Norte|8442962|144|6|22|14.583333333333334|55570.0641025641|6|15|100.0|68.18181818181817
Pernambuco|PE|114|29|5403681|106|8|NE|Nordeste|9051113|185|5|19|15.675675675675677|47400.71052631579|5|16|100.0|84.21052631578947
Piauí|PI|47|13|1451145|43|4|NE|Nordeste|3270174|224|4|15|5.803571428571429|30875.425531914894|4|11|100.0|73.33333333333333
Rio Grande do Norte|RN|29|8|1481943|24|5|NE|Nordeste|3303953|167|4|19|4.790419161676647|51101.48275862069|3|7|75.0|36.84210526315789
Rio Grande do Sul|RS|118|36|5661809|107|11|S|Sul|11088065|497|7|35|7.2434607645875255|47981.43220338983|7|21|100.0|60.0
Rio de Janeiro|RJ|130|29|13818111|101|29|SE|Sudeste|16615526|92|6|18|31.521739130434785|106293.16153846154|6|13|100.0|72.22222222222221
Rondônia|RO|32|10|1081940|30|2|N|Norte|1616379|52|2|8|19.230769230769234|33810.625|2|6|100.0|75.0
Roraima|RR|9|1|408157|6|3|N|Norte|634805|15|2|4|6.666666666666667|45350.77777777778|1|1|50.0|25.0
Santa Catarina|SC|106|33|4633643|98|8|S|Sul|7762154|295|6|20|11.186440677966102|43713.61320754717|6|16|100.0|80.0
Sergipe|SE|22|7|1096519|20|2|NE|Nordeste|2211868|75|3|13|9.333333333333334|49841.77272727273|3|5|100.0|38.46153846153847
São Paulo|SP|585|152|38664837|481|104|SE|Sudeste|46024937|645|15|63|23.565891472868216|66093.73846153847|15|58|100.0|92.06349206349206
Tocantins|TO|22|8|805615|18|4|N|Norte|1584306|139|2|8|5.755395683453238|36618.86363636364|2|6|100.0|75.0
